Sample,PP,Length,Width
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),11.947,4.437
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),11.873,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.772,6.476
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),10.62,9.172
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),10.844,3.079
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),9.121,4.284
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.617,4.81
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.682,8.682
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),11.873,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),9.934,5.189
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),15.019,4.053
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.476,6.476
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.851,4.096
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.476,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.854,4.121
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),9.654,2.896
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.556,5.397
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.548,4.121
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.908,3.022
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.12,3.413
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.144,3.755
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),8.682,4.79
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.758,5.793
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),5.397,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),7.808,3.904
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.318,3.238
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),6.885,4.191
hFF4,POLY(STYRENE-ETHYLENE-BUTYLENE),4.318,3.238
