"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q1RMT6",1.95820716879617,1.39871940628298,0.626290523226206,0.542522157576776,1,-7.41428206995472
"P68399",0,0,0,1,1,-7.62248200441427
"E1BAN2",-4.22606943325444,1.20744840950127,-1.71516253649189,0.111264735517213,0.923592472790097,-6.20001861803855
"A0A3Q1M7X9",0,0,0,1,1,-7.62248200441427
"F1MM86",1.71426597293233,1.22447569495167,0.626289666119408,0.542522701529497,1,-7.41428263098264
"Q3T0E3",1.77386798815687,1.2670485629692,0.626289908511978,0.54252254769788,1,-7.41428247232221
"Q3T0E7",0,0,0,1,1,-7.62248200441427
"REV__Q0V8A1",-3.99654356136088,1.14186958896025,-1.71516107144123,0.111265010703866,0.923592472790097,-6.20002080550494
"Q2KI00",1.45841598909072,1.04172570649337,0.626288266031881,0.542523590079193,1,-7.41428354742254
"A0A3Q1LYY5",0,0,0,1,1,-7.62248200441427
"E1BAK6",0,0,0,1,1,-7.62248200441427
"F1MH43",0,0,0,1,1,-7.62248200441427
"Q3ZBV3",0,0,0,1,1,-7.62248200441427
"Q29RM3",0,0,0,1,1,-7.62248200441427
"Q27971",0,0,0,1,1,-7.62248200441427
"Q8HXM1",0,0,0,1,1,-7.62248200441427
"F1N0E6",0,0,0,1,1,-7.62248200441427
"F1N2D3",0,0,0,1,1,-7.62248200441427
"Q32S22",0,0,0,1,1,-7.62248200441427
"F1N045",1.60596242381333,1.14711601700952,0.62628915461792,0.54252302614803,1,-7.41428296579077
"E1BM72",0,0,0,1,1,-7.62248200441427
"F1MUU2",-3.74617406922077,1.07033544834879,-1.71515915638274,0.111265370418299,0.923592472790097,-6.20002366487605
"Q2KHV9",0,0,0,1,1,-7.62248200441427
"Q9TS97",1.56788538602924,1.11991813287803,0.62628894911758,0.542523156566487,1,-7.41428310030288
"Q2YDE4",2.64454908609936,6.1437366534841,0.514793273813385,0.615781963149561,1,-7.48110217945922
"Q2HJH4",0.791141678955195,4.99707939959082,0.159150594995443,0.876122176294632,1,-7.60883869468578
"A0A3Q1LJU0",-8.68215100764751,10.9939214263697,-1.9148147368465,0.0789524645079061,0.923592472790097,-5.89183336540114
"Q0IIK5",-3.21055906597764,5.94694414483203,-0.649715166742797,0.527770970807646,1,-7.39868080908133
"Q3B8S0",2.77110695259265,6.16867125144855,0.537686036329147,0.600344697130909,1,-7.46839622841614
"F1MZV1",-8.27310968410106,2.36374562402887,-2.9693703992967,0.0113917804735725,0.923592472790097,-4.03694928318813
"Q2TBR4",-1.65258403070825,7.2620070583273,-0.31408604815085,0.758695646292353,1,-7.56950172557358
"Q3T0F7",-0.0423726679420805,8.63501494550024,-0.00779107494253908,0.993908070646644,1,-7.62244927466242
"A6H7E3",-9.2812316460734,6.02468589931555,-2.13257475810075,0.0536669885813657,0.923592472790097,-5.53535889592707
"A6QLV3",-17.3106404686709,4.9458972767631,-185.183647308908,1.18565174235861e-22,2.61791904712781e-19,31.8585835889733
"A0A3Q1M0T4",-4.85509763351999,4.84744402515719,-1.04938483613344,0.314094248262818,1,-7.05375623572387
"A5D7K0",0,0,0,1,1,-7.62248200441427
"F1MMQ6",-6.40012243490951,3.61193328322397,-1.6154387760895,0.131448114413655,1,-6.34618468581191
"A0A3Q1LV36",-14.0057077778353,7.38430645857746,-3.88930431412568,0.00204080182545126,0.923592472790097,-2.30318444736072
"P68301",0.246722650607249,9.02055684627098,0.0434134496680336,0.96606568501491,1,-7.6214658389934
"Q148F1",-4.32847556681873,1.23670730480535,-1.71516311623283,0.111264626622191,0.923592472790097,-6.20001775242734
"Q5E9F9",-5.12959378724627,4.80667220665609,-1.12508584936465,0.281933892332778,1,-6.97277473246734
"Q3T0M7",0.87333632711094,4.77857533982594,0.183769469905397,0.857175774436705,1,-7.60429749845374
"G3N2F2",0,0,0,1,1,-7.62248200441427
"F1N1W3",-0.585848722851494,3.71940531695215,-0.130508583713324,0.89826489145337,1,-7.61330444298786
"Q3MHX5",-2.47836836192422,2.39611215317632,-0.683053997533903,0.507178921911148,1,-7.37555622779769
"Q3SWX1",0,0,0,1,1,-7.62248200441427
"Q2HJI9",1.66836028037722,1.19168591455516,0.626289461452228,0.542522831419155,1,-7.41428276494951
"A0A3Q1MNI2",0,0,0,1,1,-7.62248200441427
"F1MZ00",6.83926772183415,4.88519122988154,1.53409280215938,0.150206530408204,1,-6.46117233798331
"P20821",-1.60117473404213,7.24561911893309,-0.304993981200809,0.765447457662102,1,-7.57251330948182
"Q0VD16",0,0,0,1,1,-7.62248200441427
"Q2KIA5",0,0,0,1,1,-7.62248200441427
"A0A3Q1MDI3",1.67748313909922,1.19820224221373,0.626289503467204,0.542522804754835,1,-7.41428273744821
"F1MSZ6",-4.81220582210551,4.5704104562524,-1.10824276828463,0.288864106774355,1,-6.9911935784585
"CON__ENSEMBL:ENSBTAP00000014147",-4.53866859138628,1.29676245468179,-1.71516418560799,0.111264425757494,0.923592472790097,-6.20001615574278
"F1MPP1",-8.37224981387286,2.39207137539225,-2.96994223720512,0.0113795294379605,0.923592472790097,-4.03588248125479
"P21282",-4.2563694537437,1.21610555821249,-1.71516271239191,0.111264702477209,0.923592472790097,-6.20001835540224
"P46196",-4.17222172965432,1.19206335132981,-1.71516221438202,0.111264796020419,0.923592472790097,-6.20001909898073
"Q3MHF7",0,0,0,1,1,-7.62248200441427
"P61955",5.27723657466066,3.76945469618619,1.22969237318699,0.241714298445,1,-6.85340685514506
"F1MUP9",0,0,0,1,1,-7.62248200441427
"F1MC86",0,0,0,1,1,-7.62248200441427
"Q3SZ73",-2.45418154053549,2.38363037786851,-0.679800980051402,0.509167098985632,1,-7.37785992019289
"Q08DM3",0,0,0,1,1,-7.62248200441427
"A7MBD4",-4.03555907108092,1.15301687745169,-1.71516133821496,0.111264960594584,0.923592472790097,-6.2000204071853
"Q3SX14",0,0,0,1,1,-7.62248200441427
"Q3B7L6",-0.830336879965252,3.60414136207461,-0.191306537965162,0.851393215857988,1,-7.60277753594702
"Q3SZ37",-4.14150012457481,1.18328574987852,-1.71516202495452,0.111264831601369,0.923592472790097,-6.20001938181486
"Q0VC36",3.48473368107044,2.48909548647888,0.938940197948919,0.365754831386484,1,-7.16335083595635
"Q2NKU4",1.70601701286232,1.21858358061594,0.62628963055611,0.542522724099332,1,-7.41428265426094
"Q3SYW9",-0.891391259641234,3.52430227280052,-0.21011020764389,0.83700661594477,1,-7.59872089049041
"Q6QRN6",1.63782219383429,1.16987299559592,0.626289315665218,0.542522923941204,1,-7.41428286037577
"F1MS94",-3.85843129030566,1.10240894008733,-1.71516006116767,0.111265200468167,0.923592472790097,-6.2000223139432
"Q3SZY3",-1.90244235579981,2.15348192366082,-0.578855858150508,0.573087979258404,1,-7.4442224672512
"E1BL29",-8.24934795650185,2.35695655900053,-2.97075266216771,0.0113621893832568,0.923592472790097,-4.03437052163803
"A0A3Q1MJ04",-2.50950879796582,2.33721620126753,-0.710083611201779,0.490837620405001,1,-7.35602144700925
"Q0VCZ7",-4.27751464521351,1.22214704148958,-1.7151628329374,0.111264679834674,0.923592472790097,-6.20001817541577
"F1MWU9",1.7465229472647,1.24751639090336,0.626289800382867,0.542522616320757,1,-7.41428254309918
"P67774",-4.42919452839876,1.26548415097108,-1.71516364764938,0.111264526804212,0.923592472790097,-6.20001695896911
"Q2HJ33",-3.97699835130449,1.13628524322985,-1.71516093483686,0.111265036362872,0.923592472790097,-6.2000210094688
"Q76I82",0.803320793331109,4.86751134591615,0.165921283135046,0.870903024574196,1,-7.60765447830423
"F1MSG8",1.68473782578385,1.20338416127418,0.62628953639234,0.542522783859278,1,-7.41428271589674
"Q05927",3.35523105545879,2.39659361104199,0.939403894329024,0.365526052036677,1,-7.16291256931515
"F1MET0",1.67082444298021,1.19344603070015,0.626289472868702,0.542522824173821,1,-7.41428275747675
"Q3ZBX0",-4.29594414436141,1.22741261267469,-1.71516293655265,0.111264660372216,0.923592472790097,-6.20001802070784
"Q58DM9",0,0,0,1,1,-7.62248200441427
"P35604",0,0,0,1,1,-7.62248200441427
"Q3MHL6",-2.5107659828374,2.49048165577698,-0.665034183503669,0.518249776879333,1,-7.38818887888063
"Q3SYZ4",1.67970645547199,1.19979032533714,0.626289513602995,0.542522798322272,1,-7.41428273081373
"A0A3Q1LQH3",-2.57455811355316,2.50950900538698,-0.677271867294567,0.510716009998626,1,-7.37964391411889
"A5D7N2",-5.24438840158552,4.91460290438672,-1.1248708247498,0.282021560202885,1,-6.97301130069217
"A0A3Q1MBS5",1.67411422574696,1.19579587553354,0.626289488031772,0.542522814550753,1,-7.41428274755161
"Q3T0I5",1.64156547399914,1.17254676714224,0.626289333973956,0.542522912321774,1,-7.41428284839161
"A5PKI3",0,0,0,1,1,-7.62248200441427
"F1MF76",-0.662477986199405,3.46999245769198,-0.15844456194892,0.876666772198934,1,-7.60895935387032
"Q861S4",0,0,0,1,1,-7.62248200441427
"O02691",-3.79213160180034,1.08346617194296,-1.71515953651907,0.111265299015424,0.923592472790097,-6.20002309729519
"Q08E58",0,0,0,1,1,-7.62248200441427
"Q2KJC8",3.26523941364837,2.33231386689169,0.9393996477231,0.365528146778638,1,-7.16291658388202
"Q4U5R3",1.64127320533364,1.17233800380974,0.626289332548949,0.542522913226138,1,-7.41428284932436
"Q2NL26",1.75963765154935,1.25688403682097,0.626289852870804,0.5425225830099,1,-7.41428250874269
"Q3T178",0,0,0,1,1,-7.62248200441427
"E1BPW2",0,0,0,1,1,-7.62248200441427
"A0A3Q1LU21",1.50557500684002,1.07541071917144,0.626288578593299,0.542523391715557,1,-7.41428334283281
"A6QLI0",1.70348714051238,1.21677652893741,0.626289619545553,0.542522731087054,1,-7.41428266146801
"A7MBH9",1.66015092931797,1.18582209236998,0.626289423050788,0.542522855790186,1,-7.41428279008553
"Q2YDJ9",0,0,0,1,1,-7.62248200441427
"P56965",1.58678465817771,1.13341761298408,0.626289052965304,0.542523090660706,1,-7.41428303232842
"Q3ZBL4",-4.02696955851768,1.15056273100505,-1.71516128014804,0.111264971501547,0.923592472790097,-6.20002049388498
"F1N301",0,0,0,1,1,-7.62248200441427
"A0A3Q1LXV4",-0.753521277151332,3.38725683080027,-0.184729377875992,0.856438830538476,1,-7.60410729415374
"A0A452DI87",0,0,0,1,1,-7.62248200441427
"A0A3Q1MK20",3.33677096304622,2.3834078307473,0.938483109902471,0.365980448685801,1,-7.16378267316719
"A0A3Q1N0N4",-3.34268585088819,6.03311751555607,-0.667196397710526,0.516913984436827,1,-7.38668965023143
"A4IF97",1.60194239375253,1.1442445669661,0.626289133611643,0.542523039479425,1,-7.41428297954062
"A6H7C4",0,0,0,1,1,-7.62248200441427
"P18902",0,0,0,1,1,-7.62248200441427
"P68432",3.76976740893816,2.6926910063844,0.939328212697067,0.365563385111498,1,-7.16298411326568
"Q3SZ43",1.73921731184961,1.24229807989258,0.6262897706278,0.542522635204462,1,-7.41428256257566
"A0A3Q1MMJ3",-3.98341705507715,1.13811915859347,-1.71516097991993,0.111265027894717,0.923592472790097,-6.2000209421553
"A1L5A6",1.58019926141478,1.12871375815342,0.626289017202567,0.542523113357121,1,-7.41428305573724
"E1BF55",0,0,0,1,1,-7.62248200441427
"Q2KIB0",1.42919180044054,1.02085128602895,0.626288056621781,0.542523722979012,1,-7.41428368449364
"Q2TBR6",0,0,0,1,1,-7.62248200441427
"Q3T122",-4.20026146899917,1.20007470542834,-1.71516238365776,0.111264764224665,0.923592472790097,-6.20001884623517
"Q3ZBS8",0,0,0,1,1,-7.62248200441427
"Q58DU5",-3.84096191009017,1.09741768859719,-1.71515992555989,0.111265225940016,0.923592472790097,-6.20002251641897
"Q5E9B7",3.22507980763646,2.30362843402604,0.939410331982217,0.36552287652328,1,-7.16290648339218
"A0A3Q1LTC6",-4.14540156024721,1.18440044578492,-1.7151620492442,0.111264827038938,0.923592472790097,-6.20001934554796
"A0A7S6NJ47",0,0,0,1,1,-7.62248200441427
"F1N150",1.69916675213235,1.21369053723739,0.626289600628448,0.542522743092575,1,-7.41428267385038
"F1N3L7",0,0,0,1,1,-7.62248200441427
"F2Z4I6",-0.869881278097606,3.63338389243148,-0.198855899749153,0.845610226473911,1,-7.6011942277489
"P68102",-4.08623921297734,1.16749691799353,-1.71516167340284,0.111264897634801,0.923592472790097,-6.2000199067165
"Q1LZB6",1.87156561543574,1.3368325824541,0.626290256885645,0.542522326606639,1,-7.41428224429071
"Q1RMI2",0,0,0,1,1,-7.62248200441427
"Q2YDE9",0,0,0,1,1,-7.62248200441427
"Q3T0B6",-4.28391907583856,1.22397687881102,-1.71516286909635,0.111264673042797,0.923592472790097,-6.20001812142684
"A0A3Q1LSN3",1.44993766292889,1.03566975923492,0.626288206581202,0.542523627808912,1,-7.41428358633647
"Q2KIT8",0,0,0,1,1,-7.62248200441427
"A0A3Q1MMA8",0,0,0,1,1,-7.62248200441427
"A0A3Q1MNP0",1.59095252083984,1.13639465774274,0.626289075370237,0.54252307644167,1,-7.41428301766306
"A0A3Q1N568",0,0,0,1,1,-7.62248200441427
"F1MVW5",3.07507374559185,2.19648124685132,0.937800041914391,0.36631779106022,1,-7.16442766690301
"A4IFT6",1.46454800629062,1.04610571877901,0.626288308388165,0.542523563198245,1,-7.41428351969788
"A6QPZ3",0,0,0,1,1,-7.62248200441427
"A7MBC2",0,0,0,1,1,-7.62248200441427
"P02070",0,0,0,1,1,-7.62248200441427
"E1BKW5",0,0,0,1,1,-7.62248200441427
"F1MLQ1",0,0,0,1,1,-7.62248200441427
"P02313",-6.62606105281153,3.52540842515134,-1.73864460687171,0.106930861693334,0.923592472790097,-6.16481105260495
"Q02373",0,0,0,1,1,-7.62248200441427
"P79345",-2.23747730525609,2.3073765964093,-0.638521946291775,0.534790886784716,1,-7.40620259616714
"Q05B45",0,0,0,1,1,-7.62248200441427
"Q05B60",1.56474984726966,1.11767846233547,0.626288931523524,0.542523167732356,1,-7.41428311181923
"Q2HJ89",0,0,0,1,1,-7.62248200441427
"Q2KIL5",1.65239975027401,1.18028553591,0.626289386265994,0.542522879135232,1,-7.41428281416337
"Q3MI00",0,0,0,1,1,-7.62248200441427
"Q6Q137",0,0,0,1,1,-7.62248200441427
"Q6Y1E2",-3.98100009815007,1.13742859947145,-1.71516096296954,0.111265031078585,0.923592472790097,-6.20002096746392
"A0A3Q1LGK3",1.54712178052621,1.10508698609015,0.62628883060989,0.542523231776054,1,-7.41428317787315
"A0A3Q1LVT9",1.55019470888316,1.10728193491655,0.626288848449229,0.542523220454519,1,-7.41428316619625
"A0A3Q1MEK5",0,0,0,1,1,-7.62248200441427
"A0A3Q1N389",0,0,0,1,1,-7.62248200441427
"G5E6P8",0,0,0,1,1,-7.62248200441427
"A3KMV4",-4.22728229043803,1.20779494012515,-1.71516254360561,0.111264734181014,0.923592472790097,-6.20001860741705
"A5D7A0",1.79955403589945,1.28539573992818,0.626290005624174,0.542522486066765,1,-7.41428240875645
"A6QL97",0,0,0,1,1,-7.62248200441427
"A7E3T7",-3.97294830823372,1.13512808806678,-1.71516090627805,0.111265041727201,0.923592472790097,-6.20002105210992
