p.adj,p.val,log2FC,significant,Protein Ids,Majority Protein Ids,gene names,Peptides
1,0.950310867,-0.033846618,n.s.,A0A3Q1M651;A0A3Q1M425;A0A3Q1MS63;A0A3Q1MTL2;A0A3Q1LU06,A0A3Q1M651;A0A3Q1M425;A0A3Q1MS63;A0A3Q1MTL2;A0A3Q1LU06,EMID1,14
0.332104781,0.014271634,0.893818209,n.s.,A0A3Q1M6S0;Q08DJ3;A0A3Q1LM31;A0A3Q1MKT5,A0A3Q1M6S0;Q08DJ3;A0A3Q1LM31;A0A3Q1MKT5,FUBP1,18
1,0.663553364,0.350709433,n.s.,A0A3Q1M720;A2VDM7,A0A3Q1M720;A2VDM7,SF1,7
1,1,0.036743641,n.s.,A0A3Q1M7H7;Q2HJH1,A0A3Q1M7H7;Q2HJH1,DNPEP,11
1,0.697341821,0.422404666,n.s.,A0A3Q1M7L5;A0A3Q1M008;A0A3Q1M0Q8;A0A3Q1MKH6;E1BBT9;A0A3Q1LV64,A0A3Q1M7L5;A0A3Q1M008;A0A3Q1M0Q8;A0A3Q1MKH6;E1BBT9;A0A3Q1LV64,HSPA4L,18
0.934966009,0.3366312,-0.350307891,n.s.,A0A3Q1M8B0;F1MLV1;A0A3Q1LQF0;Q2KIW6;Q9TR09,A0A3Q1M8B0;F1MLV1;A0A3Q1LQF0;Q2KIW6,PSMC6,6
0.855076182,0.258949103,0.436573484,n.s.,A0A3Q1M8C7;F1MJM5;A0A3Q1N2U0;A0A3Q1MJV8;F1N444;A0A3Q1LF45;A7YY58;E1BL59;A0A3Q1MCM4;A0A3Q1LJU9,A0A3Q1M8C7;F1MJM5;A0A3Q1N2U0;A0A3Q1MJV8;F1N444;A0A3Q1LF45;A7YY58,LTBP1,15
0.642535928,0.110461305,0.135779998,n.s.,A0A3Q1M930;A0A3Q1MBP1;A0A3Q1MJM1;E1B748,A0A3Q1M930;A0A3Q1MBP1;A0A3Q1MJM1;E1B748,HYOU1,43
1,0.599414006,0.48647322,n.s.,A0A3Q1M9D9;E1B7U1,A0A3Q1M9D9;E1B7U1,MOGS,7
1,0.56345437,-0.290846012,n.s.,A0A3Q1MAM5;F1MIL2,A0A3Q1MAM5;F1MIL2,TLE6,29
1,0.898058752,-0.111710989,n.s.,A0A3Q1MAQ1;G3MWR4;Q3ZCH8;F6QVN4,A0A3Q1MAQ1;G3MWR4,ATP1B1,9
0.810930055,0.213877861,0.99637915,n.s.,A0A3Q1MBN7;Q863B3,A0A3Q1MBN7;Q863B3,SND1,10
1,0.51903481,0.461856923,n.s.,A0A3Q1MBY2;Q148H0;A0A3Q1LM66,A0A3Q1MBY2;Q148H0;A0A3Q1LM66,APOO,3
1,0.465315347,-0.682158121,n.s.,A0A3Q1MBY6;A0A3Q1NAY9;A0A3Q1MDG7;A0A3Q1LRZ2;Q2HJ73;F1MPK4;A0A3Q1LUU2,A0A3Q1MBY6;A0A3Q1NAY9;A0A3Q1MDG7;A0A3Q1LRZ2;Q2HJ73;F1MPK4;A0A3Q1LUU2,HIBCH,2
0.642535928,0.113891938,0.32337444,n.s.,A0A3Q1MCJ7;Q862B7;Q3T076;A0A3Q1MWP9;F1MR01;A0A3Q1LNR2,A0A3Q1MCJ7;Q862B7;Q3T076;A0A3Q1MWP9,RPS14,12
0.855076182,0.254397456,0.452826476,n.s.,A0A3Q1MDH1;Q95ML6;F1N7J2;A0A3Q1ND98;A0A3Q1MU03;A0JN32;A0A3Q1M696;F1MQ01;A0A3Q1MIH7;A0A3Q1LUI4;F1MN60;A0A3Q1LKB5;D3K0R6;A0A3Q1MR17;F1MS16;Q28164,A0A3Q1MDH1;Q95ML6;F1N7J2;A0A3Q1ND98;A0A3Q1MU03;A0JN32,ATP2B1,9
0.455454771,0.047079529,1.292878955,n.s.,A0A3Q1MDH5;Q3T0R7;A0A3Q1NEN2,A0A3Q1MDH5;Q3T0R7,ACAA2,20
0.696931121,0.136278637,-1.207769665,n.s.,A0A3Q1MDI3;Q2KI42,A0A3Q1MDI3;Q2KI42,PSMD11,8
0.996624643,0.45549586,-0.489607879,n.s.,A0A3Q1MDT7;A0A3Q1M1Z1,A0A3Q1MDT7;A0A3Q1M1Z1,-,14
1,0.956272274,-0.181359898,n.s.,A0A3Q1ME14;Q2TA40;A0A3Q1M1N7;F1N7X3,A0A3Q1ME14;Q2TA40;A0A3Q1M1N7;F1N7X3,NAP1L4,8
0.810584126,0.207737923,-0.753491689,n.s.,A0A3Q1MEA6;A5PJR9,A0A3Q1MEA6;A5PJR9,GNL1,4
1,0.532534675,-0.362991225,n.s.,A0A3Q1MEH0;Q56K11,A0A3Q1MEH0;Q56K11,SRGN,4
0.867573976,0.265387557,0.250612636,n.s.,A0A3Q1MF55;Q8SQH5;A0A3Q1MWD4;A1XEB0,A0A3Q1MF55;Q8SQH5;A0A3Q1MWD4,SLC25A5,18
1,1,0.003901875,n.s.,A0A3Q1MFJ3;Q2KJ32;A0A3Q1N308,A0A3Q1MFJ3;Q2KJ32;A0A3Q1N308,SELENBP1,7
1,0.570754292,-0.674250415,n.s.,A0A3Q1MFT2;A0A3Q1M3M6;A0A452DIN4;A0A3Q1N573;A0A3Q1M410;E1BCH6,A0A3Q1MFT2;A0A3Q1M3M6;A0A452DIN4;A0A3Q1N573;A0A3Q1M410;E1BCH6,CRPPA,2
1,1,0.036145649,n.s.,A0A3Q1MG76;A0A3Q1LS34;A7MB83,A0A3Q1MG76;A0A3Q1LS34;A7MB83,PLOD2,14
1,0.697400712,-0.331072302,n.s.,A0A3Q1MHX8;A0A3Q1MJU0;Q148J4;A0A3Q1M7J6;E1BC58,A0A3Q1MHX8;A0A3Q1MJU0;Q148J4;A0A3Q1M7J6;E1BC58,RAB2A,4
0.831502161,0.227005327,-0.760301888,n.s.,A0A3Q1MIA4;P56701,A0A3Q1MIA4;P56701,PSMD2,5
1,0.625230691,0.384236545,n.s.,A0A3Q1MIW9;Q0IIG0;A0A3S5ZPM7,A0A3Q1MIW9;Q0IIG0;A0A3S5ZPM7,NOLC1,10
1,0.948690513,0.237816294,n.s.,A0A3Q1MJ04;A8E4P2,A0A3Q1MJ04;A8E4P2,FARSB,5
0.525525679,0.063033694,0.39930753,n.s.,A0A3Q1MKJ7;Q28034;A0A3Q1MTB8,A0A3Q1MKJ7;Q28034;A0A3Q1MTB8,PRKCSH,32
1,0.603372766,0.054130653,n.s.,A0A3Q1MKQ7;P26452;F8UZU9;A0A3Q1MFG3;Q862H8;Q862N6,A0A3Q1MKQ7;P26452;F8UZU9;A0A3Q1MFG3;Q862H8,RPSA,8
1,0.760960408,-0.152334704,n.s.,A0A3Q1MKR2;G3X6L9;A0A3Q1MSP0,A0A3Q1MKR2;G3X6L9;A0A3Q1MSP0,EPRS1,21
0.604008974,0.096319037,1.130791456,n.s.,A0A3Q1ML29;F1MFD5;A8KC67,A0A3Q1ML29;F1MFD5;A8KC67,RANGAP1,2
0.535657104,0.071073717,0.517679672,n.s.,A0A3Q1MLP3;Q148J8;P41563,A0A3Q1MLP3;Q148J8;P41563,IDH3A,15
1,0.768192318,0.481356752,n.s.,A0A3Q1MLR0;Q5EA64;F1N103;Q08DB7,A0A3Q1MLR0;Q5EA64;F1N103;Q08DB7,COCH,6
0.933345912,0.326526785,-0.449792933,n.s.,A0A3Q1MM55;F1MMK2;Q5EM56,A0A3Q1MM55;F1MMK2,G6PD,19
0.692543165,0.133521679,0.262800438,n.s.,A0A3Q1MM65;Q58DW0;G3MXR5,A0A3Q1MM65;Q58DW0,RPL4,19
1,1,0.236978558,n.s.,A0A3Q1MMA8;Q0VC16;G5E5L5;A0A3Q1M2R2;A0A3Q1MNU0,A0A3Q1MMA8;Q0VC16;G5E5L5;A0A3Q1M2R2;A0A3Q1MNU0,MIA3,6
0.146660492,0.00323641,0.566126985,n.s.,A0A3Q1MME4;A0A3Q1MJF8;A0A3Q1MP10;A0A3Q1M3F3,A0A3Q1MME4;A0A3Q1MJF8,HNRNPA2B1,37
1,0.727472725,0.391286232,n.s.,A0A3Q1MMJ3;A5PJN2;A0A3Q1MTE4,A0A3Q1MMJ3;A5PJN2;A0A3Q1MTE4,ERO1A,3
0.933345912,0.328323643,-0.23431158,n.s.,A0A3Q1MN33;A0A3Q1LUC8;A0A3Q1LU91;Q32S38;A0A4Y5RY75,A0A3Q1MN33;A0A3Q1LUC8;A0A3Q1LU91;Q32S38,GCLC,30
0.967351464,0.40713859,0.305133984,n.s.,A0A3Q1MN97;F1N789;A0A3Q1LIB4;A0A3Q1MRN4;Q2PQT6;Q0VCE6,A0A3Q1MN97;F1N789;A0A3Q1LIB4;A0A3Q1MRN4,VCL,16
1,0.805831942,0.377659932,n.s.,A0A3Q1MNM7;A0A3Q1MB68;A0A3Q1LUT2;F1MX04;A0A3Q1MH27;E1BLC8;A0A3Q1NNI9;A0A3Q1M1I5;G3N2H3;F1MIK1;A0A3Q1LYM8;A0A3Q1MDS7;A0A3Q1M8U3,A0A3Q1MNM7;A0A3Q1MB68;A0A3Q1LUT2;F1MX04;A0A3Q1MH27,EIF4G1,10
0.925764811,0.313964373,-0.332733167,n.s.,A0A3Q1MNN2;F1MZC0;A6QPH7;A0A3Q1MMT0;A0A3Q1NB93;F1N6I4;A6QPX6,A0A3Q1MNN2;F1MZC0;A6QPH7;A0A3Q1MMT0;A0A3Q1NB93;F1N6I4;A6QPX6,AKR7A2,10
1,0.585062891,0.028305265,n.s.,A0A3Q1MQD7;G3MWH1;Q3SYU8,A0A3Q1MQD7;G3MWH1;Q3SYU8,TPD52L2,9
1,0.859160455,-0.060713622,n.s.,A0A3Q1MR04;A0A3Q1LSE5;F1MZU2;A8RCD4;G3N178,A0A3Q1MR04;A0A3Q1LSE5;F1MZU2,NSF,32
1,1,-0.038613694,n.s.,A0A3Q1MRF3;A6H7B5,A0A3Q1MRF3;A6H7B5,COPS3,3
1,1,-0.22048341,n.s.,A0A3Q1MRG1;E1BIN5,A0A3Q1MRG1;E1BIN5,CUL3,3
0.449901431,0.041219588,-1.326610434,n.s.,A0A3Q1MTY6;F1N1S2;Q148E3;Q28137,A0A3Q1MTY6;F1N1S2,MAP1B,15
1,0.996670033,-0.26070973,n.s.,A0A3Q1MUD4;F1MT25;A0A3Q1M9B5;Q2YDE6,A0A3Q1MUD4;F1MT25;A0A3Q1M9B5;Q2YDE6,HDLBP,10
1,0.579028456,-0.179037222,n.s.,A0A3Q1MUI7;A0A3Q1LR42;F1MV80;A0JN34,A0A3Q1MUI7;A0A3Q1LR42;F1MV80,NADK2,21
0.831502161,0.229829584,0.121839691,n.s.,A0A3Q1N0B0;Q32LA7;P0C0S4,A0A3Q1N0B0;Q32LA7;P0C0S4,H2AZ2,12
1,0.690152703,0.084826995,n.s.,A0A3Q1N0N4;A0A3Q1M1V8;A0A3Q1LQX6,A0A3Q1N0N4;A0A3Q1M1V8;A0A3Q1LQX6,TPM1,20
0.641510941,0.108036105,0.517025652,n.s.,A0A3Q1N238;Q58DR8;F1MZ38,A0A3Q1N238;Q58DR8;F1MZ38,SUCLG1,16
0.316218656,0.012119879,-2.400982484,n.s.,A0A3Q1N365;A0A3Q1LVV6;E1B7E3;A0A3Q1MBQ3;A0A3Q1MRJ5;A0A3Q1MPM7,A0A3Q1N365;A0A3Q1LVV6;E1B7E3;A0A3Q1MBQ3;A0A3Q1MRJ5;A0A3Q1MPM7,GOLGA4,2
0.936288028,0.34768587,-0.413819458,n.s.,A0A3Q1N375;A7YWE4;A0A3Q1MVR8;A0A5C0NRA3,A0A3Q1N375;A7YWE4;A0A3Q1MVR8,ALDH4A1,5
1,0.714812852,0.276228594,n.s.,A0A3Q1N389;Q0IIJ0,A0A3Q1N389;Q0IIJ0,NAA50,2
1,0.623673763,0.278870095,n.s.,A0A3Q1N552;A0A3Q1LUM5;A6H767;A0A3Q1LQC2;G3X7M5;A0A3Q1NDU3,A0A3Q1N552;A0A3Q1LUM5;A6H767;A0A3Q1LQC2;G3X7M5,LOC112441545,7
1,0.908250917,0.153467745,n.s.,A0A3Q1N744;A0A3Q1LK47;Q2KJI7,A0A3Q1N744;A0A3Q1LK47;Q2KJI7,AFG3L2,14
0.015357006,1.07E-04,0.548676756,n.s.,A0A3Q1N8Q5;P61603;A0A3Q1MBC6,A0A3Q1N8Q5;P61603,HSPE1,26
1,0.542115016,0.104681626,n.s.,A0A3Q1NC75,A0A3Q1NC75,CALU,17
1,1,-0.033427055,n.s.,A0A3Q1NCR8;A7YY65,A0A3Q1NCR8;A7YY65,MTCH1,2
0.440070354,0.030666411,0.908941149,n.s.,A0A3Q1NDV9,A0A3Q1NDV9,LOC538435,5
0.965517001,0.381176188,0.643614582,n.s.,A0A3Q1NEH4;A0A3Q1M1S6;Q2KJ39,A0A3Q1NEH4;A0A3Q1M1S6;Q2KJ39,RCN3,7
1,0.498875011,-0.50882677,n.s.,A0A3Q1NHA2;Q1JQC5,A0A3Q1NHA2;Q1JQC5,RMDN3,6
0.315876216,0.011739883,1.545645509,n.s.,A0A3Q1NHX1;A0A3Q1M5U2;F1MQG6;A4FUB9;A7Z082;A0A3Q1M6T5;F6QIB4,A0A3Q1NHX1;A0A3Q1M5U2;F1MQG6;A4FUB9,ACIN1,6
1,0.539950069,-0.359828451,n.s.,A0A3Q1NK91;Q0IIL6;Q68V19,A0A3Q1NK91;Q0IIL6;Q68V19,HSD17B4,9
1,0.590484711,0.284367768,n.s.,A0A3Q1NNJ3;P52556,A0A3Q1NNJ3;P52556,BLVRB,3
